Job Title,Company,Skills,Location,Salary,Experience,Posted,Link
Content & E-commerce Management Associate,Deconstruct,"Data Analytics, E-commerce, Sales Management, Search Engine Optimization (SEO)",Bangalore,"₹ 4,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/content-e-commerce-management-associate-job-in-bangalore-at-deconstruct1764230889
Graphic Designer,Famyo,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, Video Editing",Bangalore,"₹ 4,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/graphic-designer-job-in-bangalore-at-famyo1764191270
Accountant,HMA Wealth,"Accounting, Bank Reconciliation, English Proficiency (Written), MS-Excel, MS-Office, Tally",Work from home,"₹ 4,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-accountant-job-at-hma-wealth1764179318
Sales Executive,One Root,"Analytical Thinking, Communication, Effective Communication, Negotiation, Strategy, Technical Analysis",Work from home,"₹ 4,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/remote-sales-executive-job-at-one-root1764139822
Associate Accountant,Nexten Brands Private Limited,"Accounting, Bank Reconciliation, Company Law, English Proficiency (Spoken), GST, Invoice Processing, MS-Office, Statutory compliances, Taxation, Zoho Books",Bangalore,"₹ 4,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/associate-accountant-job-in-bangalore-at-nexten-brands-private-limited1764132582
Sales Development Representative,Nova Benefits,"Business Development, Business Development. Cold Calling, Client Relationship Management (CRM), Communication Skills, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Networking, Sales",Bangalore,"₹ 4,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-sales-development-representative-job-in-bangalore-at-nova-benefits1764069511
Software Developer,TapTalent.ai,"Amazon DynamoDB, Amazon RDS, Bootstrap, CSS, JavaScript, MySQL, Node.js, Python, React",Bangalore,"₹ 4,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/software-developer-job-in-bangalore-at-taptalentai1764045247
Full Stack Developer,Nutrachoco,"CSS, HTML, JavaScript, MERN, MongoDB, MySQL, Node.js, PostgreSQL, Python, React",Work from home,"₹ 4,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-full-stack-developer-job-at-nutrachoco1763537930
Business Development Associate,Kapable.club,"Business Development, Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Problem Solving, Sales, Time Management",Delhi,"₹ 4,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/business-development-associate-job-in-delhi-at-kapableclub1763446062
Cluster Optometrist,Lenskart,"Customer Support, Leadership, Operations, Sales, Training and Development",Karnal,"₹ 4,00,000 - 6,00,000",3 year(s),N/A,https://internshala.com/job/detail/cluster-optometrist-job-in-karnal-at-lenskart1765220776
Business Development Associate,Skillinabox Learning Solutions Private Limited,"Effective Communication, Inside Sales, Interpersonal skills, Market Analysis, Negotiation, Sales, Sales Strategy",Indore,"₹ 4,00,000 - 5,60,000",1 year(s),6 days ago,https://internshala.com/job/detail/business-development-associate-job-in-indore-at-skillinabox-learning-solutions-private-limited1765863468
Business Development Associate,Skillinabox Learning Solutions Private Limited,"Effective Communication, Inside Sales, Interpersonal skills, Market Analysis, Negotiation, Sales, Sales Strategy",Noida,"₹ 4,00,000 - 5,60,000",1 year(s),6 days ago,https://internshala.com/job/detail/business-development-associate-job-in-noida-at-skillinabox-learning-solutions-private-limited1765863199
Business Development Associate,Skillinabox Learning Solutions Private Limited,"Effective Communication, Inside Sales, Interpersonal skills, Market Analysis, Negotiation, Sales, Sales Strategy",Pune,"₹ 4,00,000 - 5,60,000",1 year(s),N/A,https://internshala.com/job/detail/business-development-associate-job-in-pune-at-skillinabox-learning-solutions-private-limited1765431952
Sales Associate,NxtWave,"Business Development, Sales",Work from home,"₹ 4,00,000 - 5,60,000",1 year(s),2 days ago,https://internshala.com/job/detail/remote-sales-associate-job-at-nxtwave1766206358
Business Development Executive,The OmniJobs,"Cold Calling, Inside Sales, Lead Generation",Lucknow,"₹ 4,00,000 - 5,60,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-lucknow-at-the-omnijobs1764760118
Business Development Manager,Femure,"Business Development, Effective Communication, Interpersonal skills, Sales, Sales Management, Sales Strategy",Jaipur,"₹ 4,00,000 - 5,50,000",1 year(s),2 days ago,https://internshala.com/job/detail/business-development-manager-job-in-jaipur-at-femure1766233433
"Business Development Associate (Fresher, Delhi/Noida)",Pregrad,"Effective Communication, Interpersonal skills, Leadership, Negotiation, Problem Solving","Delhi,Gurgaon,Greater Noida,Noida,Faridabad,Muradabad","₹ 4,00,000 - 5,50,000",0 year(s),Today,https://internshala.com/job/detail/fresher-business-development-associate-fresher-delhi-noida-job-in-multiple-locations-at-pregrad1766386942
Supply Chain Executive,Planys Technologies Private Limited,"Inventory Management, Logistics Management",Chennai,"₹ 4,00,000 - 5,50,000",1 year(s),2 days ago,https://internshala.com/job/detail/supply-chain-executive-job-in-chennai-at-planys-technologies-private-limited1766207330
Business Development Executive,Iron Lady,"Client Relationship, Client Relationship Management (CRM), English Proficiency (Spoken), Sales, Sales Strategy",Bangalore(Hybrid),"₹ 4,00,000 - 5,50,000",1 year(s),4 days ago,https://internshala.com/job/detail/business-development-executive-job-in-bangalore-at-iron-lady1766057644
Business Development Trainee,Social Recruit,"Cold Calling, Counseling, English Proficiency (Spoken), Inside Sales, Sales",Noida,"₹ 4,00,000 - 5,50,000",1 year(s),3 days ago,https://internshala.com/job/detail/business-development-trainee-job-in-noida-at-social-recruit1766147028
Junior Recruiter,Ohara IT Solutions,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",Mumbai,"₹ 4,00,000 - 5,50,000",0 year(s),5 days ago,https://internshala.com/job/detail/fresher-junior-recruiter-job-in-mumbai-at-ohara-it-solutions1765954179
Html5 Game Developer - Construct 3,Kidztype,"CSS, Game development, HTML 5, JavaScript",Work from home,"₹ 4,00,000 - 5,50,000",1 year(s),N/A,https://internshala.com/job/detail/remote-html5-game-developer-construct-3-job-at-kidztype1764825067
Accountant,ALPHAGRID TECHNOLOGIES,"Accounting, MS-Excel, MS-Office, Tally",Bangalore,"₹ 4,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-accountant-job-in-bangalore-at-alphagrid-technologies1764400324
Junior Accountant,ALPHAGRID TECHNOLOGIES,"Accounting, MS-Excel, MS-Office, Tally",Pune,"₹ 4,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-junior-accountant-job-in-pune-at-alphagrid-technologies1764399872
Deputy Manager/Manager – Marketing,Marzi By Primus,"Communication Skills, Coordination, Data Interpretation, Marketing, Marketing Campaigns, Marketing Strategies, Program Management",Bangalore,"₹ 4,00,000 - 5,50,000",1 year(s),N/A,https://internshala.com/job/detail/deputy-manager-manager--marketing-job-in-bangalore-at-marzi-by-primus1763964327
Executive Assistant,Iscicle Popsicles & Gelato (August Ventures),"English Proficiency (Spoken), MS-Office",Pune(Hybrid),"₹ 4,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-executive-assistant-job-in-pune-at-iscicle-popsicles-gelato-august-ventures1762318379
Senior Social Media Marketing Associate,Car Wizard Private Limited,"Creative Writing, Digital Marketing, English Proficiency (Spoken), Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",Noida,"₹ 4,00,000 - 5,20,000",1 year(s),N/A,https://internshala.com/job/detail/senior-social-media-marketing-associate-job-in-noida-at-car-wizard-private-limited1765427712
Growth Associate,Varicash,"Client Relationship Management (CRM), Customer Acquisition, Effective Communication, Finance, Interpersonal skills",Bangalore,"₹ 4,00,000 - 5,00,000",0 year(s),Today,https://internshala.com/job/detail/fresher-growth-associate-job-in-bangalore-at-varicash1766403327
Tech Manager - Contractual Role,Tradearch Market Platforms Pvt Ltd,"Collaboration, Computer skills, Coordination, Leadership, Microsoft Teams, Team Management, Technical Analysis, Technical Support",Mumbai,"₹ 4,00,000 - 5,00,000",1 year(s),5 days ago,https://internshala.com/job/detail/tech-manager-contractual-role-job-in-mumbai-at-tradearch-market-platforms-pvt-ltd1765945601
Business Research Executive,Tradearch Market Platforms Pvt Ltd,"English Proficiency (Spoken), English Proficiency (Written), Generative AI Tools, MS-Office, MS-PowerPoint, MS-Word, Report Writing, Research, Research and Analytics",Mumbai,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/business-research-executive-job-in-mumbai-at-tradearch-market-platforms-pvt-ltd1764046003
Customer Support,Wehire Talent Solutions,"Communication Skills, MS-Excel","Thane,Navi Mumbai,Mumbai","₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/customer-support-job-in-multiple-locations-at-wehire-talent-solutions1763967876
Flutter Developer,Maxgen Technologies Private Limited,"Dart, Flutter, Mobile Application Development",Ahmedabad,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/flutter-developer-job-in-ahmedabad-at-maxgen-technologies-private-limited1764731049
Performance Marketing Manager,Moretasks Business Solution Limited,"Analytical Thinking, Critical thinking, Google Analytics, Marketing Campaigns, Performance Management, Performance Marketing, Problem Solving",Gurgaon,"₹ 4,00,000 - 5,00,000",1 year(s),5 days ago,https://internshala.com/job/detail/performance-marketing-manager-job-in-gurgaon-at-moretasks-business-solution-limited1765947605
Customer Success Executive,WNU Mutual Fund Distribution Services Pvt Ltd.,"Effective Communication, Interpersonal skills, MS-Excel",Bangalore,"₹ 4,00,000 - 5,00,000",1 year(s),6 days ago,https://internshala.com/job/detail/customer-success-executive-job-in-bangalore-at-wnu-mutual-fund-distribution-services-pvt-ltd1765870117
Graphic Designer,Goodera,"Adobe Illustrator, Adobe Photoshop, CorelDRAW",Bangalore,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/graphic-designer-job-in-bangalore-at-goodera1765540365
Influencer Content Script Writer,Confluencr,"Copywriting, Creative Writing, Script Writing",Bangalore,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/influencer-content-script-writer-job-in-bangalore-at-confluencr1765279061
Junior Copywriter,Born High Digital,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing",Bangalore,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/junior-copywriter-job-in-bangalore-at-born-high-digital1764655047
Copywriter,CoverYou,"Content Writing, Copywriting, Effective Communication, English Proficiency (Written), Script Writing","Delhi,Gurgaon","₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/copywriter-job-in-multiple-locations-at-coveryou1763986590
Junior Architect,ACENZO LLP,Autodesk Revit,Delhi,"₹ 4,00,000 - 5,00,000",0 year(s),1 day ago,https://internshala.com/job/detail/fresher-junior-architect-job-in-delhi-at-acenzo-llp1766349383
Business Development Executive,Kashyaps HR And Payroll Solutions,English Proficiency (Spoken),Noida,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-noida-at-kashyaps-hr-and-payroll-solutions1765007412
Sales Executive,Treez Enterprise,"Effective Communication, Sales Management, Sales Strategy",Hyderabad,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/sales-executive-job-in-hyderabad-at-treez-enterprise1764930666
Back Office Work,Vedant Invest & Insure,Communication Skills,Vadodara,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-part-time-back-office-work-job-in-vadodara-at-vedant-invest-insure1764672164
Digital Marketing Manager,Samosa Singh,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",Bangalore,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/digital-marketing-manager-job-in-bangalore-at-samosa-singh1764188580
Python Developer - Trading Systems & Automation,Kailasa Capital Advisors LLP,"Debugging, Git, JSON, Pandas, Python, REST API, SQL",Delhi,"₹ 4,00,000 - 5,00,000",0 year(s),Today,https://internshala.com/job/detail/fresher-python-developer-trading-systems-automation-job-in-delhi-at-kailasa-capital-advisors-llp1766387323
Data Entry Executive,VEDANTIX SOFTWARES,"MS-Excel, MS-Office",Pune,"₹ 4,00,000 - 5,00,000",0 year(s),2 days ago,https://internshala.com/job/detail/fresher-data-entry-executive-job-in-pune-at-vedantix-softwares1766215799
Technical Business Analyst,Nvest Solution Private Limited,"Data Analytics, MS-Excel, Research and Analytics","Thane,Dombivli,Kalyan,Mumbai","₹ 4,00,000 - 5,00,000",0 year(s),4 days ago,https://internshala.com/job/detail/fresher-technical-business-analyst-job-in-multiple-locations-at-nvest-solution-private-limited1766039451
Software Developer,ManpraX Software LLP,Flutter,Delhi,"₹ 4,00,000 - 5,00,000",1 year(s),6 days ago,https://internshala.com/job/detail/software-developer-job-in-delhi-at-manprax-software-llp1765875743
Inside Sales Representative - Trainee,KnowledgeChakra,"Effective Communication, Inside Sales, Lead Generation, Management, Sales",Bangalore,"₹ 4,00,000 - 5,00,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-inside-sales-representative-trainee-job-in-bangalore-at-knowledgechakra1765865924
Business Development Trainee,KnowledgeChakra,"Cold Calling, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Sales",Bangalore,"₹ 4,00,000 - 5,00,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-business-development-trainee-job-in-bangalore-at-knowledgechakra1765865546
PCB Designer,Vicharak Computers LLP,"Circuit Design, Digital Circuits, PCB Design, PCB Soldering",Surat,"₹ 4,00,000 - 5,00,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-pcb-designer-job-in-surat-at-vicharak-computers-llp1765864458
MIS Reporting Analyst/Data Analyst,Proziod Analytics Private Limited,"Grafana, MS SQL Server, SQL",Bangalore,"₹ 4,00,000 - 5,00,000",1 year(s),7 days ago,https://internshala.com/job/detail/mis-reporting-analyst-data-analyst-job-in-bangalore-at-proziod-analytics-private-limited1765778971
Kannada Communication Coach,FRND,Effective Communication,Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-part-time-kannada-communication-coach-job-at-frnd1765369343
Tamil Communication Coach,FRND,Effective Communication,Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-part-time-tamil-communication-coach-job-at-frnd1765369326
Malayalam Communication Coach,FRND,Effective Communication,Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-part-time-malayalam-communication-coach-job-at-frnd1765369227
Backend Developer,Amrutam Pharmaceuticals,"MongoDB, MySQL, PostgreSQL, REST API",Gurgaon(Hybrid),"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/backend-developer-job-in-gurgaon-at-amrutam-pharmaceuticals1765361455
Data Specialist,Forage AI,"Advanced Excel, Data Analysis, Data Analytics, Data Cleaning, Data Extraction, MySQL, Python, SQL",Work from home,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/remote-data-specialist-job-at-forage-ai1765362312
Junior Mobile App Developer,Scriptonet Analytics,"Android, iOS, React Native",Work from home,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/remote-junior-mobile-app-developer-job-at-scriptonet-analytics1765351900
Big Data Executive,KODEXA,MS-Excel,Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-part-time-big-data-executive-job-at-kodexa1765264577
Data Entry Specialist,ALPHAGRID TECHNOLOGIES,"MS-Excel, MS-Office",Bangalore,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-data-entry-specialist-job-in-bangalore-at-alphagrid-technologies1765169831
Placement Specialist,Hireyy,Effective Communication,Noida,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/placement-specialist-job-in-noida-at-hireyy1765001013
Junior Full Stack Developer,Planys Technologies Private Limited,"CI/CD, CSS, JavaScript, MongoDB, Node.js, React, Web development",Chennai,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/junior-full-stack-developer-job-in-chennai-at-planys-technologies-private-limited1764935662
Senior Officer & Associate Manager,UpGrad,"Field Sales, Field Work, Sales","Delhi,Ghaziabad,Gurgaon,Noida","₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-senior-officer-associate-manager-job-in-multiple-locations-at-upgrad1764842996
Project Coordinator,Aqua Exchange,Effective Communication,Vijayawada,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-project-coordinator-job-in-vijayawada-at-aqua-exchange1764839248
Finance Executive,SkillOrbit,"Accounting, Budget Management, Finance, Financial Modeling, GST, MS-Excel, MS-Office, Tally, Taxation",Bangalore,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/finance-executive-job-in-bangalore-at-skillorbit1764767917
Real Estate Business Development Executive,BNM Business Solutions LLP,"Client Interaction, Client Relationship, Client Relationship Management (CRM), Cold Calling, Customer Acquisition, Effective Communication, Negotiation, Time Management",Bangalore,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-real-estate-business-development-executive-job-in-bangalore-at-bnm-business-solutions-llp1764576812
Sales Representative,BNM Business Solutions LLP,"Client Interaction, Client Relationship, Client Relationship Management (CRM), Cold Calling, Customer Acquisition, Effective Communication, Negotiation, Time Management",Navi Mumbai,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-sales-representative-job-in-navi-mumbai-at-bnm-business-solutions-llp1764576325
Executive (Employee Engagement),Aranca,"Employment engagement, Event Management",Mumbai(Hybrid),"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/executive-employee-engagement-job-in-mumbai-at-aranca1764575462
Data Analytics Specialist,ALPHAGRID TECHNOLOGIES,"Data Analytics, Data Science, MS-Excel, Power BI, Python, SQL, Tableau",Bangalore,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-data-analytics-specialist-job-in-bangalore-at-alphagrid-technologies1764400028
Junior Human Resources (HR) Executive,ALPHAGRID TECHNOLOGIES,"MS-Excel, MS-Office, MS-Word",Pune,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-junior-human-resources-hr-executive-job-in-pune-at-alphagrid-technologies1764399437
Administration Executive,KODEXA,MS-Office,Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-part-time-administration-executive-job-at-kodexa1764155465
Business Development Executive,Madafu Designs,"Design Thinking, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing",Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-madafu-designs1764144522
C++ Developer,Nutrachoco,"Algorithms, C++ Programming, C Programming, Data Structures",Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-c-developer-job-at-nutrachoco1763631137
AI Full-Stack Engineer,Nutrachoco,"Amazon Web Services (AWS), AngularJS, CI/CD, Generative AI Development, Generative AI Tools, Golang, Machine Learning Operations (MLOps), Node.js, NumPy, OpenAI API, PyTorch, scikit-learn, Terraform",Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-ai-full-stack-engineer-job-at-nutrachoco1763630947
Data Engineer,Nutrachoco,"Big Data Analytics, Bitbucket, ETL processes, Jira, NoSQL, Python, SQL",Work from home,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-data-engineer-job-at-nutrachoco1763630678
Java Developer,Kiras Tech,"Java, MySQL",Hyderabad,"₹ 4,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/java-developer-job-in-hyderabad-at-kiras-tech1762939719
Business Development Executive,Zone Media,"Business Development, Digital Marketing, English Proficiency (Spoken), Lead Generation, Negotiations, Presentation skills, Sales",Gurgaon,"₹ 4,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-gurgaon-at-zone-media1762856518
Junior Accounts Executive,Confluencr,Accounting,Bangalore,"₹ 4,00,000 - 4,80,000",1 year(s),N/A,https://internshala.com/job/detail/junior-accounts-executive-job-in-bangalore-at-confluencr1763965523
Interior Designer - Sales,A1 Home,"Business Development, Effective Communication, Presentation skills, Sales",Gurgaon(Hybrid),"₹ 4,00,000 - 4,80,000",1 year(s),N/A,https://internshala.com/job/detail/interior-designer-sales-job-in-gurgaon-at-a1-home1763052468
Associate - Search Engine Optimization (SEO),Internshala,"Effective Communication, Search Engine Marketing (SEM), Search Engine Optimization (SEO)",Gurgaon,"₹ 4,00,000 - 4,50,000",1 year(s),N/A,https://internshala.com/job/detail/associate-search-engine-optimization-seo-job-in-gurgaon-at-internshala1765260453
Associate Psychologist Counselor,Drone Tech Solutions Private Limited,"Counseling, English Proficiency (Spoken), English Proficiency (Written), Psychology","Ulhasnagar,Thane,Kalyan,Mumbai,Goregaon Kh","₹ 4,00,000 - 4,50,000",0 year(s),N/A,https://internshala.com/job/detail/associate-psychologist-counselor-job-in-multiple-locations-at-drone-tech-solutions-private-limited1764823936
Customer Service Associate,Bhanzu,"Effective Communication, English Proficiency (Written), Interpersonal skills",Bangalore,"₹ 4,00,000 - 4,50,000",1 year(s),N/A,https://internshala.com/job/detail/customer-service-associate-job-in-bangalore-at-bhanzu1765349705
Business Development Representative,DataVinci Private Limited,"Cold Calling, English Proficiency (Spoken), English Proficiency (Written), Marketing, Sales",Work from home,"₹ 4,00,000 - 4,50,000",1 year(s),4 days ago,https://internshala.com/job/detail/remote-business-development-representative-job-at-datavinci-private-limited1766044095
Technical Support Specialist,ClearTax,"APIs, Communication Skills, Customer Support",Bangalore,"₹ 4,00,000 - 4,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-technical-support-specialist-job-in-bangalore-at-cleartax1764662711
Project Manager,DataVinci Private Limited,"Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Leadership, Project Management, Time Management",Work from home,"₹ 4,00,000 - 4,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-project-manager-job-at-datavinci-private-limited1764321407
Banking Advisor,WeMakeScholars,"English Proficiency (Spoken), English Proficiency (Written), Malayalam Proficiency (Spoken), Sales","Chennai,Kollam,Kottayam,Kozhikode,Alappuzha,Hyderabad,Kochi,Munnar,Bangalore,Keralapuram,Tamil Nadu,Thrissur","₹ 4,00,000 - 4,42,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-banking-advisor-job-in-multiple-locations-at-wemakescholars1765871499
Junior Social Media Marketing Manager,"Famliya (Melbourne, Australia)","Digital Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",Work from home,"₹ 4,00,000 - 4,40,000",1 year(s),4 days ago,https://internshala.com/job/detail/remote-junior-social-media-marketing-manager-job-at-abhishek-mandal1766059663
Junior Academic Consultant,WeMakeScholars,"English Proficiency (Spoken), Malayalam Proficiency (Spoken)","Chennai,Coimbatore,Erode,Madurai,Tirunelveli,Nagercoil,Hyderabad,Vellore,Kanchipuram,Salem,Bangalore,Trichey","₹ 4,00,000 - 4,30,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-junior-academic-consultant-job-in-multiple-locations-at-wemakescholars1765871134
Academic Advisor,WeMakeScholars,"English Proficiency (Spoken), Malayalam Proficiency (Spoken), Tamil Proficiency (Spoken)","Chennai,Coimbatore,Hosur,Kollam,Kottayam,Kozhikode,Madurai,Nagercoil,Malappuram,Kasaragod,Vellore,Ernakulam,Palakkad,Kannur","₹ 4,00,000 - 4,30,000",0 year(s),3 days ago,https://internshala.com/job/detail/fresher-academic-advisor-job-in-multiple-locations-at-wemakescholars1766125015
Junior Loan Officer,WeMakeScholars,"Bengali Proficiency (Spoken), English Proficiency (Spoken), Hindi Proficiency (Spoken), Malayalam Proficiency (Spoken), Tamil Proficiency (Spoken)","Chennai,Thiruvananthapuram,Bidar,Hyderabad,Raipur,Salem,Nagpur,Begumpet,Andhra Pradesh,Madhya Pradesh,Karnataka","₹ 4,00,000 - 4,30,000",0 year(s),3 days ago,https://internshala.com/job/detail/fresher-junior-loan-officer-job-in-multiple-locations-at-wemakescholars1766123091
Financial Sales Officer,WeMakeScholars,"English Proficiency (Spoken), Kannada Proficiency (Spoken)","Secunderabad,Bidar,Hyderabad,Uttara Kannada,Mundgod,Begumpet,Mangaluru Sub-District,Karnataka","₹ 4,00,000 - 4,30,000",0 year(s),5 days ago,https://internshala.com/job/detail/fresher-financial-sales-officer-job-in-multiple-locations-at-wemakescholars1765952801
Student Advisor,WeMakeScholars,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Telugu Proficiency (Spoken)","Karimnagar,Hyderabad,Kompally,Uppal,Begumpet,Telangana","₹ 4,00,000 - 4,30,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-student-advisor-job-in-multiple-locations-at-wemakescholars1765522909
Junior Copywriter,Justwords Consultants,"Copywriting, Creative Thinking, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing",Gurgaon,"₹ 4,00,000 - 4,10,000",1 year(s),4 days ago,https://internshala.com/job/detail/junior-copywriter-job-in-gurgaon-at-justwords-consultants1766053474
Mechanical Engineer,IIITDM Kancheepuram,"AutoCAD, Autodesk Fusion 360, SolidWorks",Chennai,"₹ 4,00,000 - 4,10,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-mechanical-engineer-job-in-chennai-at-iiitdm-kancheepuram1764930278
Sales Associate – Corporate Events & Partnerships (Females Only),ZAPPYEVENTS TECH PRIVATE LIMITED,"Business Development, Client Interaction, Client Relationship, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Hospitality, MS-Office, Sales, Sales Management, Sales Strategy","Delhi,Gurgaon,Noida","₹ 4,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-sales-associate--corporate-events-partnerships-females-only-job-in-multiple-locations-at-zappyevents-tech-private-limited1765353179
Corporate Sales Associate,TalentXO,"Business Development, Lead Generation, Sales",Bangalore,"₹ 4,00,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-corporate-sales-associate-job-in-bangalore-at-talentxo1765899059
Field Sales Associate,PARVEZ SOBTI,"English Proficiency (Spoken), Field Sales, Sales Support",Delhi(Hybrid),"₹ 4,00,000",1 year(s),N/A,https://internshala.com/job/detail/field-sales-associate-job-in-delhi-at-parvez-sobti1765455335
Receptionist/Front Desk,STEPS Center For Mental Health,"Client Relationship, Collaboration, Computer skills, Coordination, Effective Communication, Teamwork","Delhi,Gurgaon","₹ 4,00,000",1 year(s),N/A,https://internshala.com/job/detail/receptionist-front-desk-job-in-multiple-locations-at-steps-center-for-mental-health1764671843
